title,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Project Coordinator/เจ้าหน้าที่ประสานการโปรเจ็ค,"Thai Marano Travel Co., Ltd.",Bangkok Area - Nakornpatom,Degree,N/A,Full Time,Tourism,Hospitality,21500
Secertary to Engineering Department/เลขาแผนกวิศวกร,"Sirayooth Co., Ltd. (Head Office)/ศิรายุทธ จำกัด",Kannayao,Degree,N/A,Permanent,Electronic,Admin & HR,25000
Sales Engineer /Sales Executive,"Good Job Professional (Thailand) Co., Ltd./กู็ด จ๊อบ โปรเพสชัลแนล",Bangkok,Degree,1 year,Full Time,Consultancy,CS & Business Devpt,27500
Sales Representative & Analyst/พนักงานฝ่ายขายและนักวิเคราะห์,"Srithana Perfect Co., Ltd./บริษัท ศรีธนาเพอร์เฟคท์ จำกัด",Jatuchak,Degree,2 years,"Full Time, Permanent",Paper,CS & Business Devpt,25000
CNC Programmer 40,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,High School Certificate,2 years,Full Time,Mechanical,Industrial,57500
Sales Representative /พนักงานขายสร้อยข้อมือ,Harmenstone,Pathumwan,Not Specified,Not Specified,"Full Time, Permanent",Gems,Event Marketing,25000
Junior / Senior Software Engineer (C#)/ซอฟต์แวร์โปรแกรมเมอร์,Quantium Technology,Prakanong,Degree,2 years,Full Time,Information Technology,Information Technology (IT),52500
Sales Representative/เจ้าหน้าที่บริหารงานขายและการตลาด,I.D.E.A  (Infinite Development Expert Association Ltd.),Bangrak,Degree,N/A,"Full Time, Permanent",Public Relations,Others,20500
Recruitment Consultant / IT Recruitment Researcher,ATJ Recruitment (Thailand) Ltd.,Pathumwan,Degree,1 year,"Full Time, Permanent",Management Consultancy,Recruitment,20500
Global Markets Securities Operations Officer,The Hongkong and Shanghai Banking Corporation Limited,Sathorn,Degree,1 year,Full Time,Financial Services,Accounting,30000
Human Resource & Administration Officer,"S.M.Chemical Supplies Co., Ltd.",Bangkapi,Degree,2 years,Full Time,Plastic,Employee Relations,18000
Billing / Accounting Staff  Working at Suvarnabhumi Airport (Freezone AO4)/เจ้าหน้าที่บัญชี,"SIAM NISTRANS CO., LTD.",Bangplee,Degree,1 year,"Full Time, Permanent",Delivery,Transportation & Logistics,16500
Logistic and Warehouse Manager Job (Freight Forwarding),"Monroe Recruitment Consulting Group Co., Ltd.",Bangkok,Degree,5 years,Full Time,Shipping,Export Import,80000
Young Learners Assistant /ผู้ช่วยครูผู้สอนภาษาอังกฤษ (Satit Chula),British Council Thailand,Pathumwan,Diploma of High Vocational Education,N/A,"Contract, Full Time",Education,Others,25000
Technical Sales Executive,Hasco Singapore Pte Ltd,Bangkok,Diploma of High Vocational Education,3 years,Full Time,Industrial Machinery,CS & Business Devpt,40000
HR Manager (60K,"J.S.Technical Services Co., Ltd.",Klongluang,Degree,10 years,Full Time,Electronics,Admin & HR,62500
Sales Manager / ผู้บริหารงานขาย 3 อัตรา,CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Degree,3 years,"Full Time, Permanent",Wholesale,Distribution,27500
Human Capital Consultant/Senior Consultant/ที่ปรึกษาการจัดการ,ADGES Consulting,Wattana,Master,4 years,"Contract, Permanent",Service,Professor,45000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,Sales,27500
Foreman / โฟร์แมนงานก่อสร้าง ( 1 อัตรา ),"TRUE POINTS ENGINEERING CO., LTD.",Eastern,(N/A),3 years,"Full Time, Permanent",Quantity Survey,Building & Construction,20500
Mobile support (Contract 1 year / 20,"TT Network Integration (Thailand) Co., Ltd.",Bangbor,Degree,1 year,Contract,Information Technology,Engineering,23000
Admin Warehouse Manager,Central Retail Corporation Ltd. (JD ecommerce),Bangkok Area - Samutprakarn,Degree,2 years,Full Time,Retail,Admin & HR,50000
Business Development Manager,"Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,5 years,"Full Time, Permanent",Architecture,Engineering Project Management,72500
Maintenance supervisor (Wangnoi Factory),Tipco Foods Public Company Limited,Ayutthaya,Degree,N/A,Full Time,Catering,Electrical,30000
Junior/Senior Marketing Executive/เจ้าหน้าที่การตลาด,"Teaching Toys Co., Ltd.",Huaykwang,Degree,1 year,"Full Time, Permanent",Education,Marketing,22500
Compliance Process Manager 90,Fircroft (Thailand) Limited,Bangkok,Not Specified,Not Specified,Full Time,Electrical Equipment,Accounting,105000
B.O.I.,"Chin Chin (Thailand) Co., Ltd.",Rayong,Not Specified,Not Specified,Permanent,Manufacturing,Administration,22500
Sales & Event Marketing Representative/เจ้าหน้าที่ส่งเสริมการขายและการตลาดประจำการออกบูธอีเว้นท์,Perfect Professional Group,Bangkok,Degree,N/A,"Contract, Freelance, Full Time",Marketing Services,Marketing,20500
Junior accountant / Accountant,"Fresh Direct (Thailand) Co., Ltd.",Prakanong,Degree,1 year,"Full Time, Permanent",Trading and Distribution,Taxation,27500
Marketing Executive/เจ้าหน้าที่การตลาด,"2power (Thailand) Co.,Ltd.",Bangkapi,High School Certificate,N/A,Full Time,Retail,Brand,14500
Sales Coordinator/Import,"Good Job Professional (Thailand) Co., Ltd./กู็ด จ๊อบ โปรเพสชัลแนล",Bangkok,Degree,1 year,Full Time,Human Resources Management,Operation,23000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Public Relations,27500
QC Staff,"Park Chong Jute Mill Co., Ltd.",Nakhon Ratchasima,Diploma of High Vocational Education,> 20,Permanent,Media,Quality Assurance,14500
Administrative Officer/เจ้าหน้าที่ธุรการ,"BIOMASS EXCHANGE CO., LTD.",Lopburi,Degree,N/A,"Full Time, Permanent",Water,CS & Business Devpt,14500
Mechanical,ThaiDCR,Pathumwan,Degree,1 year,"Full Time, Permanent",Management Consultancy,Design,32500
Lead Estimator,"Skillpower Services (Thailand) Co., Ltd.",Nongjok,Degree,3 years,Permanent,Quantity Survey,QS,50000
Sales Executive Assistant,LAVA INTERNATIONAL (THAILAND) LIMITED,Huaykwang,Degree,N/A,Full Time,Telecommunication,Administration,27500
Programmer/โปรแกรมเมอร์,"Karnkanok Property Co., Ltd.",Chiang Mai,Degree,1 year,Full Time,Property Development,Property,18000
Personal Assistant,"Clinic Siesta Co., Ltd.",Klongtoey,Degree,3 years,Full Time,Pharmaceutical,Secretary,30000
Customer Operations Executive (BTS Phrom Phong),The Lorry Online Sdn Bhd,Wattana,Degree,1 year,Full Time,Freight Forwarding,Sales,25000
Merchandising,GBIOTECH,Others,Diploma of High Vocational Education,1 year,"Contract, Full Time",Energy,Product Management,57500
SENIOR / SUPERVISOR PURCHASING OFFICER (OVERSEAS),Cosmo Group Public Company Limited,Prakanong,Degree,3 years,"Full Time, Permanent",Gems,Manufacturing Management,30000
React Native Developer,"ARTISAN DEVELOPER GROUP INTERNATIONAL LTD., PART.",Chiang Mai,Degree,N/A,"Full Time, Permanent",Information Technology,Information Technology (IT),32500
Key Account Executive,Page Group Thailand,Bangkok,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Electronics,CS & Business Devpt,72500
Senior Sales Coordinator/หัวหน้าฝ่ายประสานงานฝ่ายขาย,New Step Asia Company Limited,Wattana,Not Specified,Not Specified,Full Time,Trading and Distribution,Clerical Support,25000
Sales Manager / Sales Officer / Sales Coordinator / ฝ่ายขาย,"Star RFID Co., Ltd./สตาร์ อาร์เอฟไอดี",Sathorn,Degree,1 year,Full Time,Manufacturing,Sales,30000
General Manager for a New Marketing and Fundraising Agency /ผู้จัดการทั่วไปสำหรับการระดมทุนระหว่างประเทศและหน่วยงานการตลาด,OmniRaise,Prakanong,(N/A),5 years,Full Time,Marketing Services,Sales,125000
Senior / Recruitment Consultant(Good Commission Payout/ Basic Salary Nego/Emquartier/Immediate!!),"Linktrix (Thailand) Co., Ltd.",Wattana,Degree,1 year,Full Time,Human Resources Management,Executive Search,50000
Customer Service (3,"Smartcruit Consultant Co., Ltd.",Bangkhuntien,Degree,3 years,"Full Time, Permanent",Plastic,Transportation & Logistics,32500
Marketing Communication/นักการสื่อสารทางการตลาด,Sphere Agency,Bangrak,Degree,2 years,Full Time,Public Relations,Public Relations,22500
Sales & Event Marketing Representative/เจ้าหน้าที่ส่งเสริมการขายและการตลาดประจำการออกบูธอีเว้นท์,Perfect Professional Group,Bangkok,Degree,N/A,"Contract, Freelance, Full Time",Marketing Services,Marketing,20500
PCT Technician (Support),"NAPASORN SERVICE GROUP CO., LTD.",Huaykwang,Degree,> 20,Contract,Consultancy,Construction,25500
Business Development Manager (English resume only),XPO Logistics Worldwide (Thailand) Ltd.,Bangsaotong,Degree,3 years,Full Time,Shipping,Business Analysis,72500
IT Manager (Marketing Technology Company),"Skillpower Services (Thailand) Co., Ltd.",Prakket,Degree,5 years,"Freelance, Full Time",Public Relations,Others,57500
Digital Marketing Executive,"RWP CO., LTD.",Chonburi,Degree,5 years,Full Time,Tourism,Copy-writing,32500
Senior System Coordinator/ Senior Data Management,VF Sourcing (Thailand) Ltd.,Bangkok,Degree,1 year,Permanent,Textile,Network & System,27500
Sales Representative (เจ้าหน้าที่การขายประจำอีเว้นท์),The Singular Group Limited,Phayathai,(N/A),N/A,"Freelance, Full Time, Part Time, Temporary",Public Relations,CS & Business Devpt,27500
Sales Coordinator,"Bookkaze Co., Ltd.",Sathorn,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Information Technology,Information Technology (IT),18000
Technical Manager,Vinarco Services (Thailand) Limited,Jatuchak,Degree,7 years,"Full Time, Permanent",Electronic,Electronics,105000
Human Resource & Administration Officer,"S.M.Chemical Supplies Co., Ltd.",Bangkapi,Degree,2 years,Full Time,Chemical,Operation,18000
QA Senior Manager / Upto 100K / Rojana,"FDI Recruitment (Thailand) Co., Ltd.",Ayutthaya,Not Specified,Not Specified,Full Time,Mechanical,ISO,95000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Sales Management,27500
Client Relationship Manager (Thai direction)/ผู้จัดการฝ่ายลูกค้าสัมพันธ์ (ฝ่ายไทย),BSG group,Bangrak,Degree,N/A,"Contract, Full Time",Information Technology,CS & Business Devpt,22500
Accountant/บัญชีและการเงิน,"Giant Point Co., Ltd.",Klongtoey,Degree,N/A,"Full Time, Permanent",Publishing,General Accounting,20500
Driver / พนักงานขับรถขนส่ง (สาขาลำพูน),CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Wholesale,Transportation & Logistics,14500
Sales Manager,Asian Golf Solutions Ltd.,Wattana,Degree,N/A,Full Time,Recreation,Sales,30000
Senior Social Media Specialist,"Sunday Ins Co., Ltd.",Sathorn,Degree,N/A,Permanent,Pension Funding,Marketing General,25000
Marketing & Sales Associate,"Cruise Guru Co., Ltd.",Bangkok,Degree,Not Specified,"Contract, Full Time",Tourism,Tourism,22500
Accounting Leader,"C.K. Group Import and Export Co.,Ltd./บริษัท ซี.เค. กรุ๊ป อิมพอร์ต แอนด์ เอ็กพอร์ต จำกัด",Bangbor,Degree,5 years,"Full Time, Permanent",Trading and Distribution,Accounting,37500
Senior Creative Event,"Bonduba And Ningki United Co., Ltd./บริษัท บอนดูบา แอนด์ นิงกิ ยูไนเต็ด จำกัด",Wangthonglang,Degree,3 years,"Full Time, Permanent",Advertising,Marketing,37500
Lab Engineer / test method & specification (product/process/machine qualification),RSM Recruitment (Thailand) Limited,Chachoengsao,Degree,3 years,Full Time,Electronic,Engineering,35000
QA Manager,Synova Ltd.,Bangkok,(N/A),6 years,Full Time,Food and Beverage,Lab,72500
Search Engine Project Manager ( 80,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,5 years,"Full Time, Permanent",Information Technology,Programming,80000
Biddable Media Executive (BTS Phrom Phong),The Lorry Online Sdn Bhd,Wattana,Not Specified,Not Specified,"Full Time, Permanent",Delivery,SEO,30000
Experienced IOS developer,7 Peaks Software,Wattana,Degree,3 years,Full Time,Information Technology,Software Development,62500
Marketing Officer / นักการตลาด,Facebody group,Wattana,Degree,2 years,Permanent,Medical,Public Relations,62500
QUALITY CONTROL/AMBIENT MANAGER,Global Rooms LTD.,Bangrak,Degree,N/A,"Full Time, Permanent",Catering,ISO,50000
HR/พนักงานบุุคคล,"Wellness City Co., Ltd.",Ayutthaya,Degree,N/A,"Full Time, Permanent",Medical,Medical Services,11500
Web master / Graphic designer /พนักงานคอมพิวเตอร์ /กราฟฟิคดีไซเนอร์,TOYS & GYM Company Limited,Phitsanulok,Diploma of High Vocational Education,1 year,"Freelance, Full Time",Manufacturing,Design,11500
Producer,"1577 Home Shopping Co., Ltd.",Bangkapi,Degree,2 years,Full Time,Trading and Distribution,Creative,22500
Sales Executive,"Brand Identity and Innovation Co., Ltd.",Bangkruai,Degree,1 year,Full Time,Trading and Distribution,CS & Business Devpt,22500
Accounting Officer (Junior Level)/เจ้าหน้าที่บัญชี,"Asia Biogas (Thailand) Co., Ltd./บริษัท เอเชีย ไบโอแก๊ส (ประเทศไทย) จำกัด",Bangkok,Degree,2 years,"Full Time, Permanent",Power,General Accounting,18000
PROPERTY SALE,"Accom Asia Co., Ltd.",Klongtoey,Degree,1 year,Full Time,Consultancy,CS & Business Devpt,40000
PROJECT SALES MANAGER,"Charoenvit Trading Co., Ltd./บริษัท เจริญวิทย์​ เทรดดิ้ง จำกัด",Bangkok Area - Samutsakorn,Degree,3 years,Full Time,Trading and Distribution,Business Development,20500
Quality Assurance / พนักงานตรวจสอบคุณภาพสินค้า (เสื้อผ้า),"Pomelo Fashion Co., Ltd.",Prakanong,(N/A),N/A,Temporary,Textile,Textile,13000
Sales Representative ( Event Channel ),"Ultimate International Marketing Co.,Ltd.",Bangkok,Degree,N/A,"Contract, Full Time",Marketing Services,Public Relations,25000
Industrial Engineer 2 position/วิศกรการผลิต,Menam Stainless Wire Public Company Limited,Bangplee,(N/A),N/A,"Full Time, Permanent",Automation Equipment,General,27500
ACCOUNTING MANAGER,"AA Talent Recruitment Co., Ltd.",Bangkok,Degree,5 years,"Full Time, Permanent",Sports,Accounting,62500
Manager Maintenance,Chow Steel Industries Public Company Limited,Phrachinburi,Degree,10 years,"Contract, Full Time, Permanent",Manufacturing,Production,62500
Store Manager Cambodia/ผู้จัดการสาขา,"CHIC REPUBLIC CO., LTD.",Overseas,Degree,5 years,"Full Time, Permanent",Retail,Sales,62500
Assistant Estimator,"Skillpower Services (Thailand) Co., Ltd.",Nongjok,Degree,1 year,Permanent,"Engineering - Building, Civil, Construction",Construction,22500
SAP Data Support Analyst,"Skillpower Services (Thailand) Co., Ltd.",Bangrak,Degree,1 year,"Full Time, Permanent",Human Resources Management,MIS,45000
Sales Assistant,Expressions Parfumées,Wattana,Not Specified,Not Specified,Full Time,Petrochemical,Sales,27500
Chapter Administrator,"Entrepreneurs' Organization Association (Thailand)",Bangkok,Degree,5 years,Full Time,Charity,Clerical Support,62500
Product Quality Assurance Manager (70,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,8 years,Full Time,Wholesale,Control & Testing,80000
Sales Representative (Trading/Automotive),"Good Job Professional (Thailand) Co., Ltd./กู็ด จ๊อบ โปรเพสชัลแนล",Bangkok,Degree,1 year,Full Time,Consultancy,Customer Service,27500
Engineer/วิศวกร,"Amps Electric Engineering Co., Ltd.",Central,Degree,N/A,"Full Time, Permanent",Electronic,Mechanical,20500
Accounting [Officer,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Mechanical,General Accounting,35000
Order Processing and Customer Service (25,Viscofan Thailand,Sapan-suang,Degree,2 years,"Full Time, Permanent",Others,Clerical Support,30000
PYTHON DEVELOPER (Experienced),MOHARA,Bangkok,Degree,N/A,Full Time,Information Technology,Testing,57500
SALES REPRESENTATIVE/พนักงานขาย,Zweetherb Company Limited,Bangrak,Degree,Not Specified,Full Time,Catering,CS & Business Devpt,42500
SENIOR / SUPERVISOR PURCHASING OFFICER (OVERSEAS),Cosmo Group Public Company Limited,Prakanong,Degree,3 years,"Full Time, Permanent",Gems,Export Import,30000
Senior HR officer,"Keyence (Thailand ) Co., Ltd.",Huaykwang,Degree,5 years,"Full Time, Permanent",Electronics,Admin & HR,57500
Technical Support Engineer (Fiber Optic),JAC International,Jatuchak,Degree,3 years,Full Time,Telecommunication,Telecommunications Technical support,37500
Assistant Sales Manager (BTS Line/Up to 43k/No car),"Linktrix (Thailand) Co., Ltd.",Wattana,Degree,5 years,"Full Time, Permanent",Telecommunication,Sales Management,40000
Web/Mobile Developer (Frontend & Backend),"VPM DIGITAL SOLUTIONS CO., LTD.",Ladprao,Degree,2 years,"Freelance, Full Time, Permanent",Public Relations,Application Specialist - Software,35000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Sales,27500
HR Assistance/ HR Manager/ Pallets,"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,5 years,"Full Time, Permanent",Paper,Operation,95000
Vendor Relations Manager (BTS Phrom Phong),The Lorry Online Sdn Bhd,Wattana,Degree,3 years,Full Time,Freight Forwarding,Sourcing,37500
Executive Company Secretary ( Lad Krabang) 50,MRI Worldwide Recruitment (Thailand) Ltd.,Ladkrabang,Degree,3 years,Full Time,Chemical,Administration,57500
Secretary / Personal Assistant,Southeast Insurance Public Company Limited,Bangrak,Degree,3 years,"Full Time, Permanent",Pension Funding,Secretary,50000
เทเลเซลล์,"TOP ENGLISH (THAILAND) CO., LTD.",Sathorn,Not Specified,Not Specified,Full Time,Education,Call Centre,23000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,Sales,27500
Material Engineer 55K+ / Section Head Planner Eng 70K (Rayong),Manpower Thailand - Eastern Seaboard Branch,Rayong,Degree,5 years,"Full Time, Permanent",Manufacturing,Control,50000
Account Officer,CARLCARE SERVICE THA COMPANY LIMITED,Central > Others,Not Specified,Not Specified,Full Time,Consultancy,General Accounting,18000
Research & Marketing Services Manager (FMCG),"iBingo Consulting Co., Ltd.",Wattana,Degree,7 years,"Full Time, Permanent",Human Resources Management,Brand,105000
Senior Chef de Partie (Thai Cuisine),KB EQUITY RESOURCES SDN BHD,Overseas,High School Certificate,3 years,Contract,Catering,Hospitality,20500
R&D Cosmetic/นักวิจัยและพัฒนาผลิตภัณฑ์เครื่องสำอาง,"Posh Medica International (Thailand) Co., Ltd.",Kannayao,Degree,N/A,Permanent,Health & Beauty Care,Sciences,23000
Administration officer,Anantara Vacation Club,Thonburi,Degree,1 year,"Full Time, Permanent",Catering,Marketing,27500
Administrative Assistant cum Accounts,"B.K.S. S.A. (Thailand) Co., Ltd./บริษัท บี.เค.เอส. เอส.เอ. (ไทยแลนด์) จำกัด",Chonburi,Degree,3 years,Permanent,Engineering - Others,Administration,27500
Receptionist/พนักงานต้อนรับ,"Water Pavilion Estate Co., Ltd.",Klongtoey,Diploma of High Vocational Education,2 years,Full Time,Property Development,Others,22500
Sales Executive (Horticulture),"Eseco (Thai) Co., Ltd.",Chachoengsao,Degree,3 years,"Full Time, Permanent",Plastic,Sales,35000
Sales Representative/เจ้าหน้าที่บริหารงานขายและการตลาด,I.D.E.A  (Infinite Development Expert Association Ltd.),Bangrak,Degree,N/A,"Full Time, Permanent",Advertising,Sales,20500
Product Manager,Page Group Thailand,Bangkok,Degree,5 years,"Full Time, Permanent",Others,Public Relations,140000
Sales Executive (Golf & Resort ) /เจ้าหน้าที่บริหารงานขาย ธุรกิจสนามกอล์ฟและรีสอร์ท,PM Group Company Limited,Klongtoey,Degree,2 years,"Full Time, Permanent",Hospitality,CS & Business Devpt,22500
Sales Executive (Phuket) Urgently Required !!!,"Mosaic Eins Co., Ltd.",Phuket,Degree,N/A,"Full Time, Permanent",Trading and Distribution,CS & Business Devpt,23000
Call Center (Customer Representative) / เจ้าหน้าที่บริการลูกค้าทางโทรศัพท์,FedEx Express,Klongtoey,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Delivery,Customer Service,22500
Android developer / PHP Developer (IT Solution for property brokers),Passionfruit (Thailand)/บริษัท แพชชั่นฟรุ้ต ไทยแลนด์ จำกัด,Huaykwang,Degree,1 year,"Full Time, Permanent",Information Technology,Information Technology (IT),35000
Marketing & Business Development Executive (3 positions),"CloudCommerce Co., Ltd.",Laksri,Degree,2 years,"Full Time, Permanent",Shipping,Marketing,37500
เจ้าหน้าที่บัญชี (ประจำสำนักงานใหญ่),"PPM Management Co., Ltd.",Wattana,Degree,2 years,Full Time,Management Consultancy,Taxation,25000
Sales Representative,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Sales,27500
Sales Representative (ภายนอก)/เจ้าหน้าที่ขาย ภายนอก,Naravee Kanpat Company Limited,Bangna,Degree,N/A,Permanent,Health & Beauty Care,Public Relations,18000
Senior Accountant,JAC International,Sathorn,Degree,5 years,"Full Time, Permanent",Laboratory,General Accounting,95000
Marketing Coordinator/ Executive (Many positions),Adecco Engineering & IT,Yannawa,Degree,1 year,Full Time,Health & Beauty Care,Public Relations,32500
Director of sales (Domestic)/หัวหน้าทีมขาย ในประเทศ,"Tekster Global Co., Ltd.",lamlookka,Degree,10 years,Full Time,Retail,Sales,52500
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Sales,27500
Country Manager (Bangkok),"The Hive Bangkok Co., Ltd.",Wattana,Degree,5 years,Full Time,Catering,F & B,62500
Safety Manager (FMCG),"J.S.Technical Services Co., Ltd.",Others,Degree,10 years,Permanent,Chemical,Health,125000
ช่างเย็บผ้าประจำ/ช่างเย็บผ้าประจำ,Namdang Araibanmo Ordinary Partnership,Samutprakarn > Muang,Not Specified,Not Specified,"Contract, Full Time, Part Time, Permanent",Others,Skill worker,11500
Indirect Procurement,en world Thailand,Bangkok,Degree,5 years,"Full Time, Permanent",Information Technology,Purchasing,95000
Sales & Technical Service Engineer (Take care of North area zone),"MMC Hardmetal (Thailand) Co., Ltd.",Lampoon,Degree,2 years,Full Time,Wholesale,Technical Sales,25000
Sales Executive,JAC International,Bangkok,Degree,1 year,"Full Time, Permanent",Garment,CS & Business Devpt,30000
Customer Service Associate/เจ้าหน้าที่บริการลูกค้า,"Chilindo Co., Ltd.",Bangna,Not Specified,Not Specified,"Full Time, Permanent",Retail,Sales,25000
Customer Service Officer (Amatanakorn IE),"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,3 years,"Full Time, Permanent",Paper,Supply Chain,32500
Maintenance Leader,"Skillpower Services (Thailand) Co., Ltd.",Rayong,Degree,5 years,"Full Time, Permanent",Automation Equipment,Engineering,30000
Logistic and Warehouse Manager Job (Freight Forwarding),"Monroe Recruitment Consulting Group Co., Ltd.",Bangkok,Degree,5 years,Full Time,Delivery,General Management,80000
Administrative Assistant,"Coffral-Ekthana Engineering Co., Ltd.",Huaykwang,Degree,N/A,"Full Time, Permanent",Building,Admin & HR,16500
Sales Coordinator/ผู้ประสานงานขาย,StoreHub Sdn Bhd,Pathumwan,Not Specified,Not Specified,"Full Time, Permanent",General Business Services,Sales,30000
Accounting Manager (Japanese Automotive Manufacturing),en world Thailand,Ayutthaya,Degree,10 years,"Full Time, Permanent",Motor Vehicles,Accounting,72500
SOFTWARE NETWORK & INFRASTRUCTURE ENGINEER (System,"AAPICO ITS Co., Ltd./บริษัท อาปิโก ไอทีเอส จำกัด",Pathumwan,Degree,3 years,Full Time,Information Technology,Network & System,62500
Business Development Manager,"Executive International Movers (EIM) Co., Ltd.",Bangna,Degree,4 years,Full Time,Delivery,Sales,72500
Accounting Manager,"MissConsult Co., Ltd.",Wattana,Degree,5 years,"Full Time, Permanent",Consultancy,General Accounting,50000
Sales Executive (20K,Baidu (Hong Kong) Limited,Bangrak,Degree,1 year,Full Time,Marketing Services,Account Servicing,32500
Senior Human Resource Officer/ Human Resource Officer (3 Positions),"Nexus System Resources Co., Ltd.",Suanluang,Degree,5 years,"Full Time, Permanent",Information Technology,Recruitment,37500
Sales/พนักงานขาย,JAC AYUTTHAYA,Ayutthaya,Degree,1 year,"Full Time, Permanent",Electrical Equipment,CS & Business Devpt,23000
Senior Graphic Designer,Baania (Thailand) Company Limited,Nonthaburi > Muang,Degree,5 years,"Full Time, Permanent",Advertising,Multi-media,32500
Head of Finance and Accounting (English speaking),"Gogoprint (Thailand) Co., Ltd.",Phayathai,Degree,5 years,"Full Time, Permanent",Tax Services,Audit,115000
Marketing & Business Development Executive (3 positions),"CloudCommerce Co., Ltd.",Laksri,Degree,2 years,"Full Time, Permanent",Delivery,Public Relations,37500
Jewelry designer,"Chokas Jewelry Co., Ltd.",Pranakorn,Degree,1 year,"Full Time, Internship",Watches,Product,19000
Accounting Officer,Thai Reinsurance Public Company Limited,Huaykwang,Degree,N/A,"Full Time, Permanent",Pension Funding,Accounting,25500
Office Coordinator,"Fresh Property Co., Ltd.",Wattana,Degree,1 year,Full Time,Consultancy,Others,25000
Accounting Officer (Entertainment Business),Thoresen Thai Agencies Public Company Limited,Phayathai,Degree,1 year,"Full Time, Permanent",Shipping,Taxation,23000
Interior Designer,"PHROMLIKHIT LUCK CO., LTD./บริษัท พรหมลิขิต ลัค จำกัด",Suanluang,Not Specified,2 years,"Full Time, Permanent",Building,Others,20500
Human Resource & Administration Officer,"S.M.Chemical Supplies Co., Ltd.",Bangkapi,Degree,2 years,Full Time,Petrochemical,Executive Search,18000
Accounting Manager/ผู้จัดการบัญชีและการเงิน,"SANSEEINTERFOODS CO., LTD.",Bangkok Area - Nakornpatom,Degree,5 years,"Full Time, Permanent",Catering,Accounting,50000
Guest Service Agent,"SHANA CAPITAL CO., LTD.",Surat Thani,(N/A),N/A,"Full Time, Permanent",Catering,Hospitality,11500
Sales Representative (Southern)/พนักงานขาย (ประจำภาคใต้),"Leuco Tooling (Thailand) Co., Ltd./บริษัทลอยโก้ ทูลลิ่ง (ประเทศไทย) จำกัด",Southern > Others,Diploma of High Vocational Education,N/A,Permanent,Trading and Distribution,Account Servicing,18000
Business Intelligence (BI) Consultant,"Sahasedsiri Enterprise Computing Co., Ltd.",Bangna,Degree,3 years,"Full Time, Permanent",Information Technology,Professional Services,52500
Production Superintendent (สุราษฎร์ธานี),"Skillpower Services (Thailand) Co., Ltd.",Surat Thani,Degree,3 years,Full Time,Food and Beverage,Mechanical,37500
Executive Company Secretary ( Lad Krabang) 50,MRI Worldwide Recruitment (Thailand) Ltd.,Ladkrabang,Degree,3 years,Full Time,Petrochemical,Operation,57500
Software Tester,"Manpower Professional and Executive Recruitment Co., Ltd",Bangrak,Not Specified,Not Specified,"Full Time, Permanent",Consultancy,Testing,32500
Distributor Sales Executive (Exp in Food Business or Degree in Food Science is+),"Smartcruit Consultant Co., Ltd.",Bangna,Degree,2 years,"Full Time, Permanent",Food and Beverage,Sales,32500
Purchasing Manager/ผู้จัดการฝ่ายจัดซื้อ,"Narathai Cuisine Co., Ltd.",Pathumwan,Degree,5 years,"Full Time, Permanent",Food and Beverage,Merchandising & Purchasing,40000
Network Engineer/ System Engineer (5+ Exp in ERP systems,"Smartcruit Consultant Co., Ltd.",Bangkok Area - Samutprakarn,Degree,5 years,"Full Time, Permanent",Plastic,Support,40000
พนักงานจัดสินค้า(ผู้ชาย),"Limsakdakul Chemikaset Co., Ltd.",Chiang Mai,High School Certificate,N/A,Permanent,Retail,Others,11500
