title,level,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Accounting  Manager/ผู้จัดการบัญชีและการเงิน,"",COCO NUTS LTD.,Chiang Rai,Degree,5 years,Full Time,Food and Beverage,Accounting,45000
Sales Exhibition/พนักงานขาย,Entry Level,"L.A.DISPLAYS GROUP CO., LTD.",Wangthonglang,Degree,Not Specified,Permanent,Publishing,Design,16500
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,Marketing,27500
HR Supervisor (Thai and Chinese speaking only)50,Entry Level,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,3 years,Full Time,Clothing,Admin & HR,72500
Senior Operations NPI Engineer / Team Leader,"",ATJ Recruitment (Thailand) Ltd.,Chonburi,Degree,7 years,"Full Time, Permanent",Mechanical,Electrical,80000
Electrical Engineer  / วิศวกรไฟฟ้า,Entry Level,"Si Q&E Co., Ltd./บริษัท ซี คิวแอนด์ อี",Jatuchak,Degree,3 years,"Contract, Full Time, Part Time, Permanent","Engineering - Building, Civil, Construction",Civil,27500
Sales Officer / พนักงานขาย,"","Park & Garden Co., Ltd.",Bangkapi,Diploma of High Vocational Education,1 year,Permanent,Others,CS & Business Devpt,18000
Import,"",JAC Recruitment Thailand,Bangkhen,Degree,1 year,"Full Time, Permanent",Electronics,Administration,25000
Assistant Manager / Administrator,"","PORDEE PATTANA CO., LTD./พอดีพัฒนา จำกัด",Chiang Mai,Degree,5 years,Full Time,Hospitality,Hospitality,15000
Executive Insight,Entry Level,TNS (Thailand) Ltd.,Sathorn,Master,1 year,"Full Time, Permanent",Survey,Marketing,30000
Business Developer  / Account Manager (Based in Chiang Mai),Entry Level,"Navigo Samui Co., Ltd.",Chiang Mai,Degree,N/A,Full Time,Tourism,CS & Business Devpt,27500
Head department Chief  of  Warehouse/หัวหน้าแผนกคลังสินค้า,Senior,"Lampang Food Products Co., Ltd.",Lampang,Degree,7 years,"Full Time, Permanent",Catering,General Management,35000
Senior Developer   ด่วน !!,Middle,"Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,DBA,52500
Accounting  Officer,Entry Level,IPG Advertising (Thailand) Ltd.,Bangrak,Degree,1 year,"Full Time, Permanent",Media,Taxation,25000
Biddable Media Executive (BTS Phrom Phong),"",The Lorry Online Sdn Bhd,Wattana,Not Specified,Not Specified,"Full Time, Permanent",Shipping,Information Technology (IT),30000
ผู้จัดการฝ่ายบริหารและพัฒนาทรัพยากรมนุษย์/Human  Resource Management and Development Department Manager,"","Buono (Thailand) Co., Ltd.",Bangkok Area - Nakornpatom,Not Specified,Not Specified,Permanent,Food and Beverage,Admin & HR,50000
Process Engineer,Entry Level,BASF - Asia Pacific,Klongtoey,Degree,3 years,Full Time,Plastic,Engineering,37500
Network Security Engineer,Middle,RSM Recruitment (Thailand) Limited,Bangkok,Degree,5 years,Full Time,Information Technology,Software Development,80000
เจ้าหน้าที่ซ่อมบำรุง,Entry Level,"DSP Engineering and Service Co., Ltd.",Rayong,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Electrical Equipment,Maintenance,11500
Sales Manager (Infrastructure) :Business Construction Chemicals,Entry Level,Cormix International Limited/คอร์มิกซ์ อินเตอร์เนชั่นแนล จำกัด,Meenburi,Degree,8 years,Full Time,Architecture,Technical Sales,72500
Sales Exhibition/พนักงานขาย,Entry Level,"L.A.DISPLAYS GROUP CO., LTD.",Wangthonglang,Degree,Not Specified,Permanent,Publishing,Graphics,16500
Public Relations (media relation) and Marketing Executive,Entry Level,"Niramit Plus Co., Ltd.",Phayathai,Degree,1 year,"Full Time, Permanent",Advertising,Marketing,20500
Asistance Sales Manager,Middle,BASF - Asia Pacific,Klongtoey,Degree,3 years,Full Time,Paper,CS & Business Devpt,80000
HR Officer,Entry Level,"Guardforce Security (Thailand) Co.,Ltd./บริษัท รักษาความปลอดภัย การ์ดฟอร์ซ (ประเทศไทย) จำกัด",Bangna,Degree,2 years,"Full Time, Permanent",Fire,Compensation & Benefits,18000
C# Developer,"",JAC International,Bangkok,Degree,5 years,"Full Time, Permanent",Information Technology,Application Specialist - Software,80000
Automation QA,"","Shivam Consultancy Co., Ltd.",Sathorn,Degree,7 years,"Contract, Full Time, Permanent",Information Technology,QA,82500
Product Engineering Director – Automotive (Location Chonburi – Pinthong 2),Top,"Upper Hands Solutions Co., Ltd.",Chonburi,Degree,10 years,"Full Time, Permanent",Motor Vehicles,Manufacturing,125000
Senior IP Solution Manager,Senior,Fircroft (Thailand) Limited,Bangkok,Degree,8 years,Full Time,Telecommunication,Engineering,140000
HR Business Partner (Operations) Section Manager  (PIZZA HUT),"",Thoresen Thai Agencies Public Company Limited,Northeastern,Degree,5 years,Full Time,Delivery,Employee Relations,57500
เจ้าหน้าที่บัญชี,"","PPM Management Co., Ltd.",Wattana,Degree,2 years,Full Time,Service,Accounting,25000
Customer Care Executive /ผู้บริหารการดูแลลูค้า,"",Holistic Massage Thailand.Com,Bangkok,Degree,N/A,Permanent,Health & Beauty Care,Others,25000
Sales Engineer (Chemical) Samutprakan,Middle,"Recycle Engineering Co., Ltd./บริษัท รีไซเคิลเอ็นจิเนียริ่ง จำกัด",Bangkok Area - Samutprakarn,Degree,1 year,"Full Time, Permanent",Petrochemical,Technical Sales,20500
QA/QC Manager (Painting,"",JAC Recruitment Eastern Seaboard,Rayong,Degree,5 years,Permanent,Manufacturing,Manufacturing,50000
Social Media Strategist,Entry Level,"Destination Eats Co., Ltd.",Wattana,Degree,3 years,Full Time,Catering,Brand,30000
HR Manager (Compensation & Benefits,"","Cobra International Co., Ltd.",Chonburi,Degree,8 years,Full Time,Sports,Executive Search,80000
Sales Engineer (Exp selling Lubricants,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,3 years,"Full Time, Permanent",Petroleum,Business Development,45000
Thai Chef / Cook,Senior,Bangkok Thai Cooking Academy/แบงคอก ไทย คุ๊กกิ้ง อคาเดมี่,Overseas,(N/A),3 years,Contract,Food and Beverage,F & B,67500
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,Public Relations,27500
Sales Officer/ Marketing Officer,Entry Level,"Woojin Plaimm Co., Ltd.",Bangna,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Trading and Distribution,CS & Business Devpt,25000
Sales & Recruitment Consultant (many positions !!),"","Pasona HR Consulting Recruitment (Thailand) Co., Ltd.",Sathorn,Degree,N/A,"Full Time, Permanent",Consultancy,Recruitment,25000
Brand Ambassador/เจ้าหน้าที่บริหารแบรนด์ทางการตลาด,"","Ultimate International Marketing Co.,Ltd.",Bangkok,Degree,N/A,"Contract, Full Time",Public Relations,Public Relations,22500
Construction Supervisor,Entry Level,juwi Renewable Energies Thai Company Limited,Saraburi,Not Specified,3 years,"Full Time, Permanent","Engineering - Building, Civil, Construction",Building,23000
Production Supervisor (Wangnoi Factory),Middle,Tipco Foods Public Company Limited,Ayutthaya,Degree,1 year,"Full Time, Permanent",Food and Beverage,Lab,25000
Purchasing Officer (1+ yr exp in Purchasing Industrial,Entry Level,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,1 year,"Full Time, Permanent",Plastic,Purchasing,22500
Content Editor,Middle,"Exwin Consultancy Co.,Ltd./เอกวินซ์ คอนซัลแทนซี่ จำกัด",Bangrak,Degree,1 year,"Contract, Freelance, Full Time, Internship, Permanent, Temporary",Information Technology,Copy-writing,25000
Retail Assistant ( Souvenir Salesperson )  (Siam Paragon/Siam Discovery),Entry Level,"",Pathumwan,(N/A),1 year,"Contract, Full Time, Permanent",Entertainment,No Experience,18000
Architecture Manager/ Design Manager (10+ yrs in Construction Business/ Degree of Architecure),Senior,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,10 years,"Full Time, Permanent","Engineering - Building, Civil, Construction",Building & Construction,80000
Compliance Process Manager 100,Senior,Fircroft (Thailand) Limited,Bangkok,Degree,5 years,Full Time,Electronics,Legal & Compliance,105000
Sales Representative,"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Event Marketing,27500
Senior Electric Engineering/Assistant Electric Engineer/วิศวกรไฟฟ้าอาวุโส,Entry Level,"I.M.E. Revolution Co., Ltd.",Bangplee,Degree,2 years,"Full Time, Permanent",Engineering - Electrical,Electrical,25500
Programmer,"","Shining Gold Bullion Co., Ltd.",Sathorn,Degree,1 year,"Full Time, Permanent",Watches,Programming,22500
พนักงานบันทึกข้อมูลทางบัญชี,Entry Level,"S.T. Accounting & Law Co., Ltd.",Sapan-suang,High School Certificate,N/A,"Full Time, Permanent",Audit,Clerical Support,13000
SAP Hybris Business Analyst / Consultant,"",ATJ Recruitment (Thailand) Ltd.,Bangkok,Degree,3 years,"Full Time, Part Time, Permanent",Information Technology,Software Development,72500
International Sales (30K,"","Index Living Mall Co., Ltd.",Bangkhuntien,Degree,3 years,Full Time,Retail,Account Servicing,50000
Sales Executive (13K,Entry Level,"Kokoro Sato Co., Ltd./บริษัท โคะโคโระ ซาโตะ จำกัด",Sathorn,Degree,2 years,"Full Time, Permanent",Manufacturing,CS & Business Devpt,25500
Customer Service Manager /ผู้จัดการฝ่ายบริการลูกค้า,"",Coin Asset,Jatuchak,Master,3 years,"Contract, Permanent",Financial Services,Sales,22500
Accounting Officer (Entertainment Business),"",Thoresen Thai Agencies Public Company Limited,Phayathai,Degree,1 year,"Full Time, Permanent",Shipping,Others,23000
SEO Specialist,Entry Level,NEXTEC CONSTRUCTION AND DESIGN COMPANY LIMITED,Central,Diploma of High Vocational Education,N/A,"Contract, Freelance, Full Time, Part Time, Permanent, Temporary",Quantity Survey,Public Relations,27500
Office Administrator,"","Doulon Electronics Co., Ltd",Wattana,Not Specified,Not Specified,Full Time,Engineering - Electrical,Administration,20500
Web Developer / ERP Programmer (Full Stack),"","Ecosoft Co., Ltd.",Bangrak,Degree,N/A,"Full Time, Permanent",Information Technology,Design,25000
Account Executive  / Account Manager (Based in Phuket),"","Navigo Samui Co., Ltd.",Phuket,Degree,N/A,Full Time,Travel Agency,CS & Business Devpt,27500
Strategic Sales Manager,"",Transcendent Business Services Pte Ltd,Bangkok,Degree,5 years,"Full Time, Permanent",Electrical Equipment,Sales,95000
Account Assistant,Entry Level,Bunnag Architects International Consultants,Pravet,Degree,2 years,"Full Time, Permanent",Architecture,Clerical Support,23000
Brand Ambassador ( Event Channel ),Entry Level,"Ultimate International Marketing Co.,Ltd.",Bangkok,Degree,N/A,"Contract, Full Time",Marketing Services,Marketing General,25000
Graphic Design and Digital Content Creator,"",AGW (Thailand),Phayathai,Not Specified,Not Specified,"Full Time, Permanent, Temporary",General Business Services,Media & Advertising,25000
Walk,"","The Mall Group Co., Ltd.",Bangkok,High School Certificate,2 years,Full Time,Wholesale,Sports & Recreation,16500
Service Hostess/Host,"","SHL Facility Service Co., Ltd.",Rayong,Diploma of High Vocational Education,5 years,Full Time,Audit,F & B,37500
Business Development & Marketing Manager/ผู้จัดการแผนกพัฒนาธุรกิจและการตลาด,"",ADGES Consulting,Wattana,Degree,3 years,"Full Time, Permanent",Management Consultancy,Marketing,40000
Junior Project Clerk,"",UNHC (United Nations High Commissioner for Refugees),Bangkok,Degree,N/A,Full Time,Social Services,Admin & HR,18000
Sales Coordinator (2+ yrs related working/ Exp using SAP,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Trading and Distribution,Others,25000
Project Manager (Broardcasting and Entertainment Business),"","Skillpower Services (Thailand) Co., Ltd.",Jatuchak,Not Specified,Not Specified,"Full Time, Permanent",Consultancy,Application Specialist - Software,105000
Engineer (บริหารงานระบบอาคารสูง),Not Specified,"SATHORN THANI MANAGEMENT SERVICES CO., LTD.",Bangkok,Degree,Not Specified,"Full Time, Permanent",Management Consultancy,Property Consultancy,25500
Programmer/Developer,Entry Level,R T S (2003) Company Limited,Bangkok,Degree,2 years,Full Time,Information Technology,Information Technology (IT),32500
Senior Accountant/เจ้าหน้าที่บัญชีและการเงินอาวุโส,"","BOOKMYCARGO (THAILAND) CO., LTD.",Bangkapi,Degree,3 years,Permanent,Freight Forwarding,Admin & HR,32500
Executive Secretary,"",CENTRAL GROUP,Bangrak,Degree,2 years,Permanent,Retail,Secretary,45000
Key Account Manager (Modern Trade),"",Page Group Thailand,Bangkok,Degree,2 years,"Full Time, Permanent",Electrical Equipment,Others,67500
Quality Assurance / Software Tester,"",GainPlus Solutions Ltd,Bangrak,Not Specified,Not Specified,"Full Time, Permanent",Information Technology,Information Technology (IT),27500
Membership Consultant / Sales Consultant,Entry Level,DD Fitness,Phayathai,(N/A),N/A,Full Time,Sports,CS & Business Devpt,20500
Account Coordinator / เจ้าหน้าที่ฝ่ายประสานงานฝ่ายบัญชี,"","Factoria Co., Ltd.",Prakanong,Not Specified,Not Specified,Full Time,Consultancy,Property,16500
Draftsman/พนักงานเขียนแบบ,"","Collective Studio Co., Ltd.",Bangkhen,Degree,2 years,"Full Time, Permanent",Graphic Design,Engineering,27500
Sales & Marketing Support (Good English),"","Webapp Co., Ltd.",Klongsan,Degree,3 years,Full Time,Information Technology,Marketing Communication,27500
SALE SUPPORT/ ADMINISTRATOR,Entry Level,Page Group Thailand,Bangkok,Degree,6 years,"Full Time, Permanent",Chemical,Others,72500
Assistant Store General Manager/ผู้ช่วยผู้จัดการสาขา,Senior,Central Group (Central Food Retail Group),Others,Diploma of High Vocational Education,5 years,Full Time,Wholesale,CS & Business Devpt,32500
Asistance Sales Manager,Middle,BASF - Asia Pacific,Klongtoey,Degree,3 years,Full Time,Petrochemical,Sales,80000
Corporate Secreatry,Middle,Synnex (Thailand) Public Company Limited,Ladprao,Degree,5 years,Full Time,Trading and Distribution,Equities,87500
นวทรรศน์ กำลังมองหา Travel Business Developer ( Tour Outbound ) มาร่วมงานกับเรา,Senior,"Navatas Hospitality Co., Ltd.",Pathumwan,Degree,3 years,"Full Time, Permanent",Hospitality,Hospitality,45000
Senior Sales Executive Personal Care,Middle,BASF - Asia Pacific,Klongtoey,Degree,5 years,Full Time,Plastic,Wholesale,62500
UK Study Counsellor,Middle,"Westminster International Co., Ltd.",Wattana,Degree,N/A,Full Time,Education,Education,37500
Sales Manager,Middle,DD Fitness,Phayathai,(N/A),N/A,Full Time,Sports,Sales,52500
Accountant,Entry Level,CBRE Asia Pacific,Bangkok,Degree,1 year,"Full Time, Permanent",Consultancy,Accounting,27500
Web Developer,"",JAC International,Bangkok,Degree,5 years,"Full Time, Permanent",Information Technology,Network & System,62500
SALES / BUSINESS DEVELOPMENT MANAGER,"","Pevonia (Thailand) Co., Ltd./พีโวเนีย (ประเทศไทย) จำกัด",Bangkok,Degree,5 years,"Contract, Full Time, Permanent",Health & Beauty Care,Sports & Recreation,32500
Quality Assurance Engineer (fresh graduate welcome),Entry Level,RSM Recruitment (Thailand) Limited,Chachoengsao,Degree,1 year,Full Time,Human Resources Management,Mechanical,25000
System Engineer / Technical Specialist,"","AskMe Solutions & Consultants Co., Ltd./อาซ์คมี โซลูชั่น แอน์ คอนซัลแทนท์ จำกัด",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,Application Specialist - Software,32500
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Business Development,27500
Customer Service Officer,Entry Level,"Gogoprint (Thailand) Co., Ltd.",Phayathai,Degree,1 year,Full Time,Printing,CS & Business Devpt,22500
Sales Manager,"",Mecomb (Thailand) Limited,Wattana,Degree,5 years,Full Time,Trading and Distribution,Account Servicing,72500
Media/ Marketing Staff,Entry Level,Satit Christian Wittaya,Nonthaburi > Muang,Degree,1 year,Full Time,Public Relations,Public Relations,25000
Senior HR & Admin Officer,Middle,"Perfekt Technology & Systems Co., Ltd.",Bangna,Degree,3 years,"Full Time, Permanent",Fire,Operation,25500
Customer Service Officer – Fresh Graduate level (Many Positions),"",Adecco Engineering & IT,Huaykwang,Degree,Not Specified,Full Time,Tourism,Customer Service,22500
Sales Executive (IT Product),"","Ampo Microsys Co., Ltd.",Bangrak,Degree,2 years,Full Time,Information Technology,CS & Business Devpt,22500
Site Engineer / Project Engineer ( 2 อัตรา ),"","TRUE POINTS ENGINEERING CO., LTD.",Eastern,Degree,3 years,"Full Time, Permanent","Engineering - Building, Civil, Construction",Civil,30000
Procurement Specialist ( 40,"",MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,2 years,Full Time,Plastic,Merchandising - Others,45000
Sales,Entry Level,"HIP Global Co., Ltd.",Pravet,Degree,1 year,Full Time,Fire,Sales Engineer,37500
Administrative Officer/เจ้าหน้าที่ธุรการ,"","BIOMASS EXCHANGE CO., LTD.",Lopburi,Degree,N/A,"Full Time, Permanent",Power,Marketing,14500
Safety Inspectors,"","NAPASORN SERVICE GROUP CO., LTD.",Huaykwang,Degree,> 20,Contract,Human Resources Management,Structural,52500
Import & Export/ Customer Service (Exp in BOI,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Mechanical,Transportation & Logistics,25000
Admin Acc,"","PENGUIN DIGITAL CO., LTD.",Thonburi,Degree,N/A,"Full Time, Permanent",Food and Beverage,Others,14500
Consumer Insight Analyst  ( Data Analyst )/Consumer Insight Analyst  ( Data Analyst ),Entry Level,"Onebit Matter Co., Ltd.",Huaykwang,Degree,1 year,Permanent,Information Technology,Market Research,25000
Claim Assessor/พิจารณาสินไหม,"",Thai Samsung Life Insurance PCL.,Huaykwang,Degree,6 years,Full Time,Insurance,Insurance,37500
Web/Mobile Developer (Frontend & Backend),"","VPM DIGITAL SOLUTIONS CO., LTD.",Ladprao,Degree,2 years,"Freelance, Full Time, Permanent",Advertising,Information Technology (IT),35000
Travel Consultant (Account Executive) – German speaking,"","Indochina Services Asia Co., Ltd.",Dindaeng,Degree,1 year,"Full Time, Permanent",Others,Sales,25000
Maintenance Manager at Wellgrow Industrial Estate (50,"",JAC International,Chachoengsao,Degree,Not Specified,Permanent,Mechanical,Engineering,62500
Event Producer,Middle,"Bonduba And Ningki United Co., Ltd.",Wangthonglang,Degree,3 years,"Full Time, Permanent",Advertising,Media & Advertising,30000
Credit Admin Manager (Exp in Financial Institution/ Knowledge of NCB) Attractive Benefits,Middle,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,5 years,"Full Time, Permanent",Financial Services,Banking,62500
Sales and Marketing Manager,Senior,RSM Recruitment (Thailand) Limited,Chonburi,Degree,5 years,Full Time,Packaging,Manufacturing,80000
BUSINESS DEVELOPMENT / EXPORT MANAGER (CLMV,Not Specified,"Search & Consultancy Network Co., Ltd.",Beungkum,Not Specified,Not Specified,Full Time,Health & Beauty Care,Marketing,80000
Software Developer (.Net/VB),"","Manpower Professional and Executive Recruitment Co., Ltd,",Laksri,Not Specified,Not Specified,"Full Time, Permanent",Human Resources Management,Software Development,25000
Quality Assurance Chemist,Entry Level,"Recycle Engineering Co., Ltd.",Chonburi,Degree,N/A,Permanent,Plastic,Chemical,20500
Sales Representative,"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Sales Management,27500
Digital Marketing Officer,"",THE ASIA,Klongtoey,(N/A),N/A,Full Time,Travel Agency,Information Technology (IT),32500
Digital Marketing,"","Step Solutions Co., Ltd.",Meenburi,Degree,N/A,"Full Time, Permanent",Electronic,Public Relations,30000
Sales Executive,"","V.Greatpremium Co., Ltd.",Huaykwang,Degree,1 year,Full Time,Public Relations,Wholesale,32500
Social Media cum Customer Service Executive,"","Ajmal International Trading Co., Ltd.",Wattana,Degree,4 years,"Full Time, Permanent",Retail,Marketing,40000
Client Account Executive (2 positions),Middle,Appco Company Limited,Wattana,Degree,1 year,"Full Time, Permanent",Advertising,Brand,22500
Sales & Technical Service Engineer (Take care of Prachinburi and Korat),"","MMC Hardmetal (Thailand) Co., Ltd.",Phrachinburi,Degree,2 years,Full Time,Wholesale,Engineering,25000
Merchandising,"",GBIOTECH,Others,Diploma of High Vocational Education,1 year,"Contract, Full Time",Power,Product Management,57500
.Net Software Developer/ Programmer,Entry Level,"iBingo Consulting Co., Ltd.",Wattana,Degree,1 year,"Full Time, Permanent",Human Resources Management,Software Development,37500
Sales Representative (English or Chinese speaking)/พนักงานขาย,Entry Level,"KIN LONG HARDWARE (THAILAND) CO., LTD.",Klongtoey,Degree,N/A,"Contract, Full Time, Permanent","Engineering - Building, Civil, Construction",QS,27500
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,Business Development,27500
Administrative Officer/ธุรการ,"","Chokerattanakul Import Co., Ltd.",Bangkokyai,Diploma of High Vocational Education,N/A,"Contract, Full Time, Internship",Retail,Operation,13000
Environmental officer / ISO officer/เจ้าหน้าที่สิ่งแวดล้อม / เจ้าหน้าที่ ISO / วิศวสิ่งแวดล้อม,Not Specified,"S S C OIL CO., LTD.",Chonburi,Not Specified,Not Specified,Full Time,Waste Management,Safety,22500
Senior C,"",Adecco Engineering & IT,Sathorn,Degree,3 years,"Full Time, Permanent",Engineering - Electrical,Programming,57500
Assistance Manager,Middle,BASF - Asia Pacific,Klongtoey,Degree,3 years,Full Time,Plastic,Banking,72500
Sales Executive 2 Positions/พนักงานขาย 2 ตำแหน่ง,Senior,"iMarket (Thailand) Co., Ltd./บริษัท ไอมาร์เก็ต (ไทยแลนด์) จำกัด",Chomthong,Degree,3 years,Full Time,Trading and Distribution,Sales,30000
Accountant,"",Iglu (Red Orange Co Ltd),Chiang Mai,Degree,3 years,Full Time,Information Technology,General Accounting,37500
General Manager,Senior,"Nichiworld Co., Ltd.",Suanluang,Degree,5 years,Permanent,Others,CFO,105000
GRAPHICS ARTIST,"","The Tigris Moon Co.,Ltd",Chiang Mai,Degree,2 years,"Full Time, Permanent",Textile,Media & Advertising,20500
.Net Developer( C#.net)//่โปรแกรมเมอร์ .Net,Entry Level,"Shivam Consultancy Co., Ltd.",Sathorn,Degree,N/A,"Contract, Full Time, Permanent",Financial Services,Information Technology (IT),42500
Accounting Manager/ผู้จัดการฝ่ายบัญชีและการเงิน,"",PM Group Company Limited,Klongtoey,Degree,5 years,"Full Time, Permanent",Food and Beverage,Accounting,50000
HR Manager,"","Advance Clean Power Co., Ltd.",Klongsan,Degree,N/A,Full Time,Oil & Gas,Admin & HR,67500
Sales Manager / ผู้บริหารงานขาย 3 อัตรา,"",CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Degree,3 years,"Full Time, Permanent",Retail,Others,27500
Strategic Digital Planner (Senior),"","Happio Co., Ltd.",Bangrak,Degree,3 years,Full Time,Public Relations,Marketing Communication,40000
Store Manager at Gloc Store Ari (Immediately Needed)/ผู้จัดการร้านมัลติแบรนด์ กล๊อค สาขา อารีย์ (พนักงานประจำ),"",Gloc Retail/กล๊อครีเทล,Phayathai,Degree,N/A,"Contract, Full Time",Trading and Distribution,CS & Business Devpt,18000
UX/UI Designer,"","SmoothGraph Connect Co., Ltd.",Bangkor-laem,Degree,1 year,"Contract, Full Time, Permanent",Information Technology,Design,25000
Research and Development Manager/ผู้จัดการวิจัยและพัฒนาผลิตภัณฑ์,"","Abbra Co., Ltd.",Ladlumkaew,Degree,5 years,Permanent,Food and Beverage,Food Science,30000
Sales Executive,"","Kiswire Lotus Co., Ltd.",Klongtoey,Degree,N/A,Full Time,Retail,Sales,23000
HRD Officer/เจ้าหน้าที่พัฒนาทรัพยากรมนุษย์,Entry Level,Exotic Food Public Company Limited,Pathumwan,Degree,> 20,Permanent,Catering,Admin & HR,20500
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,CS & Business Devpt,27500
General Manager for a New Marketing and Fundraising Agency /ผู้จัดการทั่วไปสำหรับการระดมทุนระหว่างประเทศและหน่วยงานการตลาด,"",OmniRaise,Prakanong,(N/A),5 years,Full Time,Public Relations,Marketing General,125000
เจ้าหน้าที่บริหารงานโรงเรียนการขนส่ง,Entry Level,Land Transport Safety Bureau,Others,Degree,2 years,"Contract, Full Time",Delivery,Others,20500
Merchandising Officer,"","The Mall Group Co., Ltd.",Bangkapi,Degree,1 year,Full Time,Service,Purchasing,23000
Digital Marketing Manager/ผู้จัดการฝ่ายการตลาดออนไลน์,"",Food Capitals Public Company Limited,Wattana,Degree,1 year,"Full Time, Permanent",Food and Beverage,Marketing,52500
Assistant Marketing Manager,Middle,Vittoria Asia Pacific Limited,Pravet,Degree,1 year,"Full Time, Permanent",Athletics,Media & Advertising,30000
Assistant Buyer / Merchandiser(Accessories IT,"","The Mall Group Co., Ltd.",Bangkapi,Degree,3 years,Full Time,Retail,Merchandising & Purchasing,25000
Project Manager,"",Manarco Recruitment Limited,Jatuchak,Degree,7 years,"Full Time, Permanent",Electronics,Engineering,105000
HR Admin Executive (Japanese Speaking),Entry Level,Adecco Recruitment (Thailand) Limited,Bangbor,Degree,1 year,"Full Time, Permanent",Manufacturing,Administration,40000
Sales (Japanese Speaking),"","FIFTH CONSULTING PLACEMENT CO., LTD.",Bangrak,Degree,2 years,Full Time,Manufacturing,CS & Business Devpt,67500
Production Engineer/วิศวกรการผลิต,Middle,"Perfect Companion Group Co., Ltd.",Bangsaotong,Degree,N/A,Full Time,Manufacturing,Mechanical,25000
Export Assistant Manager (7+ yrs in Customer Service,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,7 years,"Full Time, Permanent",Delivery,CS & Business Devpt,40000
Assistant and secretary,"","Siam MT Co., Ltd.",Klongtoey,Diploma of High Vocational Education,3 years,"Full Time, Permanent",Property Management,Personal Assistant,30000
Sales Engineer / Senior Sales Engineer,Entry Level,DSK Technlogies Pte Ltd,Bangkok,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Electronic,Sales,30000
.Net Developer / C#.net/โปรแกรมเมอร์,"","Shivam Consultancy Co., Ltd.",Sathorn,Degree,2 years,"Contract, Full Time, Permanent",Financial Services,Information Technology (IT),42500
Sales Representative,"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,Sales Management,27500
Programmer   ด่วนมาก !!,"","Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,Student,18000
Technical Sales Representative [Staff 1 Position / Senior Staff 1 Position] /เจ้าหน้าที่ฝ่ายขายและการตลาด [รับ เจ้าหน้าที่ 1 ตำแหน่ง / เจ้าหน้าที่อาวุโส 1 ตำแหน่ง],"","Thai Mitsui Specialty Chemicals Co., Ltd.",Bangrak,Degree,N/A,"Full Time, Permanent",Paper,Sales,32500
พนักงานขายสินค้าภาพและเสียง (AV)    2   อัตรา,"",CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Retail,CS & Business Devpt,18000
Garment/ Apparel Production Manager/ผู้จัดการฝ่ายผลิตเสื้อผ้า,"",ห้องเสื้อพิจิตรา,Klongtoey,Degree,5 years,"Contract, Full Time, Permanent",Human Resources Management,Others,19000
Quality Assurance  / OEM Department,"","JVCKENWOOD (Thailand) Co., Ltd.",Bangkok,Degree,3 years,Permanent,Electronics,Manufacturing,37500
FINANCE PLANNING / MANUFACTURING / PROJECT FINANCIAL / BUSINESS ANALYSIS,"",Cosmo Group Public Company Limited,Prakanong,Degree,2 years,"Full Time, Permanent",Watches,Manufacturing Management,62500
Global Customer Success Agent,Not Specified,NTG Ocean,Wattana,Degree,1 year,"Full Time, Permanent",Delivery,Transportation & Logistics,25000
